Title,Link,Publish_date,Description
Future Consumer’s Quest for Value continues,https://mnacritique.mergersindia.com/future-consumers-quest-for-value-continues/,"Tue, 10 Dec 2019 04:00:00 +0000",Future Group
Attempt to remain relevant by merging BSNL and MTNL,https://mnacritique.mergersindia.com/mtnl-bsnl-merger-telecom/,"Wed, 04 Dec 2019 04:00:13 +0000","In what seems to be last attempt, government has finally decided to revive by merging the two loss-making state-owned telecom companies "
Mangalam Timber merges with Mangalam Cement,https://mnacritique.mergersindia.com/mangalam-cement-timber-merger/,"Mon, 11 Nov 2019 04:00:21 +0000",The BK Birla group-controlled 
Hinduja Group restructures media & communications business,https://mnacritique.mergersindia.com/hinduja-venture-indusind-media-communications-demerger/,"Sat, 09 Nov 2019 04:00:08 +0000",The 
RBI rejects proposed Lakshmi Vilas Bank-Indiabulls Housing Finance merger,https://mnacritique.mergersindia.com/indiabulls-lvb-merger-rejected/,"Thu, 17 Oct 2019 04:00:50 +0000","After a lot of scrutiny, Reserve Bank of India (RBI) finally rejected the proposed merger between Chennai-based "
Titagarh Wagons Ltd moves ahead with consolidation of three entities,https://mnacritique.mergersindia.com/titagarh-wagons-consolidation/,"Wed, 16 Oct 2019 04:00:09 +0000",TITAGARH Group
Phoenix Mills Limited merges its subsidiary company,https://mnacritique.mergersindia.com/phoenix-mills-wos-merger/,"Mon, 14 Oct 2019 04:00:10 +0000",The 
Dus ka Char: Government to merge 10 PSU banks into four,https://mnacritique.mergersindia.com/government-psu-banks-merger-10-4/,"Fri, 11 Oct 2019 04:00:52 +0000","In order to create large-size state-owned banks, the government has decided to "
NCLT approves Dalmia Cement’s plan to revive Murli Industries,https://mnacritique.mergersindia.com/dalmia-cement-murli-industrie-insolvency/,"Mon, 12 Aug 2019 04:00:53 +0000","After a long-drawn case, the "
Ebix acquires Yatra to consolidate its position,https://mnacritique.mergersindia.com/ebix-yatra-acquisition-consolidation/,"Wed, 07 Aug 2019 04:00:48 +0000",US software firm 
